loan_id,bank_name,bank_type,city,audience_type,interest_rate,processing_fee,min_loan_amount,max_loan_amount,min_tenure_years,max_tenure_years,prepayment_charges,foreclosure_charges,avg_salary_required,affordable_loan_amount,special_offers,scraped_date
1,SBI,Public Sector,Mumbai,Salaried - IT/Corporate,9.16,0.53,300000,14083567,5,30,0,0,22000,2417471,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
2,SBI,Public Sector,Mumbai,Salaried - Government/PSU,9.11,0.69,300000,12296083,5,30,0,0,22000,2426080,"No processing fee for women applicants, 0.05% concession for CASA customers, Special rates for govt employees",2026-03-31
3,SBI,Public Sector,Mumbai,Self-Employed - Professional,9.21,0.41,300000,11470103,5,30,0,0,22000,2408910,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
4,SBI,Public Sector,Mumbai,Self-Employed - Business,9.21,0.73,300000,11669252,5,30,2,0,22000,2408910,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
5,SBI,Public Sector,Mumbai,Self-Employed - SME,9.21,0.39,300000,9265620,5,30,0,3,22000,2408910,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
6,SBI,Public Sector,Mumbai,Self-Employed - Startup,9.36,0.64,300000,9022800,5,30,3,2,22000,2383511,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
7,SBI,Public Sector,Mumbai,Women Applicants,9.16,0.29,300000,6606018,5,30,2,0,22000,2417471,"No processing fee for women applicants, 0.05% concession for CASA customers, 0.05% interest concession",2026-03-31
8,SBI,Public Sector,Mumbai,Senior Citizens,9.31,0.52,300000,14483012,5,30,0,3,22000,2391930,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
9,SBI,Public Sector,Mumbai,NRIs,9.41,0.67,300000,8222162,5,30,0,2,22000,2375138,"No processing fee for women applicants, 0.05% concession for CASA customers, Special NRI home loan schemes",2026-03-31
10,SBI,Public Sector,Mumbai,First Time Home Buyers,9.21,0.38,300000,5216761,5,30,0,0,22000,2408910,"No processing fee for women applicants, 0.05% concession for CASA customers, Subsidy under PMAY scheme",2026-03-31
11,SBI,Public Sector,Delhi,Salaried - IT/Corporate,9.16,0.41,300000,6625979,5,30,0,0,20800,2285609,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
12,SBI,Public Sector,Delhi,Salaried - Government/PSU,9.11,0.71,300000,14178729,5,30,0,2,20800,2293748,"No processing fee for women applicants, 0.05% concession for CASA customers, Special rates for govt employees",2026-03-31
13,SBI,Public Sector,Delhi,Self-Employed - Professional,9.21,0.71,300000,14219841,5,30,0,3,20800,2277515,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
14,SBI,Public Sector,Delhi,Self-Employed - Business,9.21,0.32,300000,9666031,5,30,0,0,20800,2277515,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
15,SBI,Public Sector,Delhi,Self-Employed - SME,9.21,0.73,300000,11982056,5,30,2,0,20800,2277515,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
16,SBI,Public Sector,Delhi,Self-Employed - Startup,9.36,0.48,300000,8810923,5,30,2,0,20800,2253501,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
17,SBI,Public Sector,Delhi,Women Applicants,9.16,0.75,300000,14007744,5,30,0,3,20800,2285609,"No processing fee for women applicants, 0.05% concession for CASA customers, 0.05% interest concession",2026-03-31
18,SBI,Public Sector,Delhi,Senior Citizens,9.31,0.59,300000,6293454,5,30,0,3,20800,2261461,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
19,SBI,Public Sector,Delhi,NRIs,9.41,0.28,300000,9827408,5,30,2,2,20800,2245585,"No processing fee for women applicants, 0.05% concession for CASA customers, Special NRI home loan schemes",2026-03-31
20,SBI,Public Sector,Delhi,First Time Home Buyers,9.21,0.71,300000,5471841,5,30,0,0,20800,2277515,"No processing fee for women applicants, 0.05% concession for CASA customers, Subsidy under PMAY scheme",2026-03-31
21,SBI,Public Sector,Bangalore,Salaried - IT/Corporate,8.54,0.68,300000,5070551,5,30,0,0,23200,2665574,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
22,SBI,Public Sector,Bangalore,Salaried - Government/PSU,8.49,0.29,300000,9610332,5,30,3,0,23200,2675306,"No processing fee for women applicants, 0.05% concession for CASA customers, Special rates for govt employees",2026-03-31
23,SBI,Public Sector,Bangalore,Self-Employed - Professional,8.59,0.33,300000,8721132,5,30,0,0,23200,2655896,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
24,SBI,Public Sector,Bangalore,Self-Employed - Business,8.59,0.41,300000,10073888,5,30,0,0,23200,2655896,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
