loan_id,bank_name,bank_type,city,audience_type,interest_rate,processing_fee,min_loan_amount,max_loan_amount,min_tenure_years,max_tenure_years,prepayment_charges,foreclosure_charges,avg_salary_required,affordable_loan_amount,special_offers,scraped_date
1,SBI,Public Sector,Mumbai,Salaried - IT/Corporate,8.78,0.38,300000,5235857,5,30,0,2,22000,2484119,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
2,SBI,Public Sector,Mumbai,Salaried - Government/PSU,8.73,0.27,300000,14067806,5,30,0,4,22000,2493101,"No processing fee for women applicants, 0.05% concession for CASA customers, Special rates for govt employees",2026-03-31
3,SBI,Public Sector,Mumbai,Self-Employed - Professional,8.83,0.71,300000,12000008,5,30,0,0,22000,2475186,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
4,SBI,Public Sector,Mumbai,Self-Employed - Business,8.83,0.36,300000,9256692,5,30,0,0,22000,2475186,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
5,SBI,Public Sector,Mumbai,Self-Employed - SME,8.83,0.49,300000,6209027,5,30,0,3,22000,2475186,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
6,SBI,Public Sector,Mumbai,Self-Employed - Startup,8.98,0.72,300000,10528270,5,30,0,3,22000,2448688,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
7,SBI,Public Sector,Mumbai,Women Applicants,8.78,0.57,300000,8887814,5,30,0,0,22000,2484119,"No processing fee for women applicants, 0.05% concession for CASA customers, 0.05% interest concession",2026-03-31
8,SBI,Public Sector,Mumbai,Senior Citizens,8.93,0.27,300000,10835402,5,30,0,3,22000,2457471,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
9,SBI,Public Sector,Mumbai,NRIs,9.03,0.65,300000,9875001,5,30,0,0,22000,2439954,"No processing fee for women applicants, 0.05% concession for CASA customers, Special NRI home loan schemes",2026-03-31
10,SBI,Public Sector,Mumbai,First Time Home Buyers,8.83,0.26,300000,14111600,5,30,0,3,22000,2475186,"No processing fee for women applicants, 0.05% concession for CASA customers, Subsidy under PMAY scheme",2026-03-31
11,SBI,Public Sector,Delhi,Salaried - IT/Corporate,8.91,0.7,300000,12234191,5,30,3,2,20800,2326762,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
12,SBI,Public Sector,Delhi,Salaried - Government/PSU,8.86,0.68,300000,9816526,5,30,0,3,20800,2335132,"No processing fee for women applicants, 0.05% concession for CASA customers, Special rates for govt employees",2026-03-31
13,SBI,Public Sector,Delhi,Self-Employed - Professional,8.96,0.58,300000,8236603,5,30,0,0,20800,2318439,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
14,SBI,Public Sector,Delhi,Self-Employed - Business,8.96,0.42,300000,11543428,5,30,0,0,20800,2318439,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
15,SBI,Public Sector,Delhi,Self-Employed - SME,8.96,0.33,300000,11951353,5,30,0,0,20800,2318439,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
16,SBI,Public Sector,Delhi,Self-Employed - Startup,9.11,0.7,300000,8722285,5,30,0,0,20800,2293748,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
17,SBI,Public Sector,Delhi,Women Applicants,8.91,0.31,300000,11827949,5,30,0,0,20800,2326762,"No processing fee for women applicants, 0.05% concession for CASA customers, 0.05% interest concession",2026-03-31
18,SBI,Public Sector,Delhi,Senior Citizens,9.06,0.35,300000,14904969,5,30,0,2,20800,2301933,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
19,SBI,Public Sector,Delhi,NRIs,9.16,0.38,300000,6028391,5,30,0,4,20800,2285609,"No processing fee for women applicants, 0.05% concession for CASA customers, Special NRI home loan schemes",2026-03-31
20,SBI,Public Sector,Delhi,First Time Home Buyers,8.96,0.52,300000,10073901,5,30,0,0,20800,2318439,"No processing fee for women applicants, 0.05% concession for CASA customers, Subsidy under PMAY scheme",2026-03-31
21,SBI,Public Sector,Bangalore,Salaried - IT/Corporate,8.53,0.67,300000,9072467,5,30,0,2,23200,2667516,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
22,SBI,Public Sector,Bangalore,Salaried - Government/PSU,8.48,0.62,300000,14435717,5,30,0,2,23200,2677259,"No processing fee for women applicants, 0.05% concession for CASA customers, Special rates for govt employees",2026-03-31
23,SBI,Public Sector,Bangalore,Self-Employed - Professional,8.58,0.53,300000,5836363,5,30,0,0,23200,2657828,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
24,SBI,Public Sector,Bangalore,Self-Employed - Business,8.58,0.67,300000,7748422,5,30,2,0,23200,2657828,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
25,SBI,Public Sector,Bangalore,Self-Employed - SME,8.58,0.3,300000,6432305,5,30,2,3,23200,2657828,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
26,SBI,Public Sector,Bangalore,Self-Employed - Startup,8.73,0.61,300000,13124614,5,30,2,2,23200,2629088,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
27,SBI,Public Sector,Bangalore,Women Applicants,8.53,0.28,300000,9289650,5,30,0,0,23200,2667516,"No processing fee for women applicants, 0.05% concession for CASA customers, 0.05% interest concession",2026-03-31
28,SBI,Public Sector,Bangalore,Senior Citizens,8.68,0.34,300000,9747258,5,30,0,0,23200,2638614,"No processing fee for women applicants, 0.05% concession for CASA customers",2026-03-31
29,SBI,Public Sector,Bangalore,NRIs,8.78,0.47,300000,10113560,5,30,0,0,23200,2619616,"No processing fee for women applicants, 0.05% concession for CASA customers, Special NRI home loan schemes",2026-03-31
